timestamp,username,hostname,monitored_file,sha256_hash,integrity_status
2026-06-11T09:34:13.565684Z,Rahul,DESKTOP-4F9IUDK,C:\Windows\System32\drivers\etc\hosts,ce44d858ef28f09073edcb5bb805fc1800663e94eb540518a66680cb0d08fdda,PRESENT
2026-06-11T09:34:13.576836Z,Rahul,DESKTOP-4F9IUDK,C:\Windows\System32\drivers\pci.sys,b41ebcce9f68256e869cee6c9a122d0c495d8b8f9095a5a4ed13d034d051515a,PRESENT
